id,date,total_steps,total_distance,tracker_distance,logged_activities_distance,very_active_distance,moderately_active_distance,light_active_distance,sedentary_active_distance,very_active_minutes,fairly_active_minutes,lightly_active_minutes,sedentary_minutes,calories,total_sleep_records,total_minutes_asleep,total_time_in_bed,weight_kg,weight_pounds,fat,bmi,is_manual_report,log_id,weekday,total_active_minutes
1503960366,2016-04-12,13162,8.5,8.5,0,1.879999995,0.550000012,6.059999943,0,25,13,328,728,1985,1,327,346,NA,NA,NA,NA,NA,NA,Tuesday,366
1503960366,2016-04-13,10735,6.96999979,6.96999979,0,1.570000052,0.689999998,4.7100000380000004,0,21,19,217,776,1797,2,384,407,NA,NA,NA,NA,NA,NA,Wednesday,257
1503960366,2016-04-14,10460,6.739999771,6.739999771,0,2.4400000570000002,0.400000006,3.910000086,0,30,11,181,1218,1776,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thursday,222
1503960366,2016-04-15,9762,6.28000021,6.28000021,0,2.140000105,1.25999999,2.829999924,0,29,34,209,726,1745,1,412,442,NA,NA,NA,NA,NA,NA,Friday,272
1503960366,2016-04-16,12669,8.159999847,8.159999847,0,2.710000038,0.409999996,5.0399999619999996,0,36,10,221,773,1863,2,340,367,NA,NA,NA,NA,NA,NA,Saturday,267
1503960366,2016-04-17,9705,6.480000019,6.480000019,0,3.1900000570000002,0.779999971,2.50999999,0,38,20,164,539,1728,1,700,712,NA,NA,NA,NA,NA,NA,Sunday,222
1503960366,2016-04-18,13019,8.590000153,8.590000153,0,3.25,0.639999986,4.7100000380000004,0,42,16,233,1149,1921,NA,NA,NA,NA,NA,NA,NA,NA,NA,Monday,291
1503960366,2016-04-19,15506,9.880000114,9.880000114,0,3.529999971,1.320000052,5.03000021,0,50,31,264,775,2035,1,304,320,NA,NA,NA,NA,NA,NA,Tuesday,345
1503960366,2016-04-20,10544,6.679999828,6.679999828,0,1.960000038,0.479999989,4.239999771,0,28,12,205,818,1786,1,360,377,NA,NA,NA,NA,NA,NA,Wednesday,245
1503960366,2016-04-21,9819,6.340000153,6.340000153,0,1.340000033,0.349999994,4.650000095,0,19,8,211,838,1775,1,325,364,NA,NA,NA,NA,NA,NA,Thursday,238
1503960366,2016-04-22,12764,8.130000114,8.130000114,0,4.760000229,1.120000005,2.24000001,0,66,27,130,1217,1827,NA,NA,NA,NA,NA,NA,NA,NA,NA,Friday,223
1503960366,2016-04-23,14371,9.039999962,9.039999962,0,2.8099999429999998,0.870000005,5.360000134,0,41,21,262,732,1949,1,361,384,NA,NA,NA,NA,NA,NA,Saturday,324
1503960366,2016-04-24,10039,6.409999847,6.409999847,0,2.920000076,0.209999993,3.279999971,0,39,5,238,709,1788,1,430,449,NA,NA,NA,NA,NA,NA,Sunday,282
